Rcapture;CO2;Flow;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
94;16;170;0,941103148;132587,911;121,080297;144,857208;3631,6621;2631,52425;2452,63743;2212,26191;2705,27902;2167,15246;122,453454;0,056173082;28;10,5969299;-24999,57334;332,4799786;303,15;-29049,69384;423,15;294,15;-25399,45425;366,0867109;303,15;-26003,76451;323,0278593;313,15;-2600,931191;367,4493499;293,15;-3648,783599;378,5911954;293,15;-7231,606144;293,15;283,15;-14927,6098;323,5072434;303,15;-17665,65166;325,5534118;313,15;-6494,177149;459,3580133;423,15;-12494,57498;2,564340828;-15469,83445;376,9693477;303,6846362;-1650,45374;354,9594962;293,15;-2838,887982;358,8313291;293,15
90;16;170;0,90385371;126791,876;121,100911;140,9072726;3631,6621;2528,94918;2357,03511;2126,02866;2599,83219;2082,68082;117,699127;0,060248711;21;10,5195861;-26171,01736;333,7843474;303,15;-29049,69384;423,15;294,15;-24270,44854;365,9906061;303,15;-23574,01212;322,5203342;313,15;-2499,54898;367,4493255;293,15;-3506,556782;378,5911699;293,15;-7231,606144;293,15;283,15;-14927,6098;323,5072434;303,15;-20692,36002;326,9836244;313,15;-6494,177149;459,3580133;423,15;-12007,5593;2,564340831;-14866,84854;376,9693477;303,6846362;-1586,12207;354,9594962;293,15;-2726,942711;358,7980546;293,15
86;16;170;0,861235441;118202,35;121,127844;134,8022863;3631,6621;2409,71857;2245,90897;2025,79723;2477,17806;1984,4247;112,208967;0,060164188;21;10,3721244;-27143,03763;334,8629066;303,15;-29049,69384;423,15;294,15;-22151,37697;365,2542948;303,15;-20022,3179;321,7347888;313,15;-2381,704976;367,4492382;293,15;-3341,243879;378,5910746;293,15;-7231,606144;293,15;283,15;-14927,6098;323,5072434;303,15;-23580,70045;328,2208218;313,15;-6494,177149;459,3580133;423,15;-11441,07009;2,564340823;-14165,46467;376,9693477;303,6846362;-1511,29246;354,9594962;293,15;-2599,634632;358,8263232;293,15
82;16;170;0,818393301;110926,961;121,146108;129,9158181;3631,6621;2289,82672;2134,16679;1925,0008;2353,88928;1885,66018;106,655346;0,056864728;21;10,2165178;-27370,158;335,1149703;303,15;-29049,69384;423,15;294,15;-20552,05628;364,8416443;303,15;-17497,58662;321,1683007;313,15;-2263,207774;367,4491965;293,15;-3175,008003;378,5910299;293,15;-7231,606144;293,15;283,15;-14927,6098;323,5072434;303,15;-24583,67462;328,5698119;313,15;-6494,177149;459,3580133;423,15;-10871,64979;2,564340831;-13460,45163;376,9693477;303,6846362;-1436,075659;354,9594962;293,15;-2469,672224;358,8075015;293,15
78;16;170;0,781441171;105156,044;121,15901;126,160108;3631,6621;2186,41426;2037,78405;1838,06577;2247,58137;1800,49875;101,853449;0,053274599;21;10,085005;-27329,54822;335,0706864;303,15;-29049,69384;423,15;294,15;-19363,48769;364,609645;303,15;-15685,02958;320,7438631;313,15;-2160,997545;367,4491721;293,15;-3031,621202;378,5910037;293,15;-7231,606144;293,15;283,15;-14927,6098;323,5072434;303,15;-24790,49644;328,5831696;313,15;-6494,177149;459,3580133;423,15;-10380,65713;2,56434083;-12852,54178;376,9693477;303,6846362;-1371,218659;354,9594962;293,15;-2359,967451;358,8576403;293,15
