mCO2,cost_specific,consumer_cost,fuel_penalty,energy_deficit,Name
224111.29780441686,184.12596355176225,73.88777219119902,0.34440080967840586,206033.22873767174,Lugnvik KVV
225850.6804972238,142.7188899650833,54.36165043718485,0.2930091882352108,176649.3308817025,Lugnvik KVV
220996.34842318986,156.26697674747643,60.072419640518945,0.33228126468952046,196019.96467147185,Lugnvik KVV
218550.4099062508,150.84093706777804,60.97069527803886,0.38047660819294493,221967.2700814918,Lugnvik KVV
217873.47924898055,131.8546887451083,47.459670222916216,0.28807150452508196,167538.2688565839,Lugnvik KVV
223057.59976999665,198.73711052747257,73.9099676012314,0.290166830032549,172772.3115992638,Lugnvik KVV
226506.3864648134,178.765339497633,66.47941106390203,0.27278079998412136,164931.49835030563,Lugnvik KVV
219628.84160111903,268.64959892765836,103.29978674560027,0.3397819859967342,199204.46816010083,Lugnvik KVV
221690.6729071317,183.9810603133424,70.7655026068398,0.3263760151220241,193141.2381984844,Lugnvik KVV
225078.55665021375,212.0591940957731,76.15560004915002,0.2506478596565318,150593.93308297906,Lugnvik KVV
260997.21491612762,158.41737387847525,60.37985935725901,0.30720623140637127,225403.001497576,Lugnvik KVV
263022.87824922794,118.1653475074173,42.528437992437546,0.24794614566997,183334.70690782825,Lugnvik KVV
257369.58381912485,136.33799454380875,50.95862132059607,0.30592269655035403,221341.43440730253,Lugnvik KVV
254521.0744087055,130.60674260618572,50.384184812181516,0.3445460578266141,246527.19493722412,Lugnvik KVV
253732.7294302517,113.33710891216285,39.54384313720449,0.26061333935650716,185894.66813364348,Lugnvik KVV
259770.09136171284,168.06207229265226,60.079948518152314,0.25587871331178264,186860.32781707184,Lugnvik KVV
263786.50521949393,152.4009422927576,54.87176701317402,0.24267960509344752,179961.5208929506,Lugnvik KVV
255777.00247478412,227.1276756104213,83.06827020010576,0.29397393109542136,211380.1075201198,Lugnvik KVV
258178.1854306109,162.5248241691698,60.798882931824394,0.3002428905305743,217914.47421915265,Lugnvik KVV
262123.67247239195,178.45514452761236,62.02480764032292,0.21650942211342825,159542.66636420085,Lugnvik KVV
254279.73438536367,160.8001421119756,61.155558846808994,0.30420220831955314,214700.51821629,Lugnvik KVV
256253.26170618372,122.20458808901331,44.268204179438726,0.2543624020836187,180917.80114739272,Lugnvik KVV
250745.47034315782,139.93874792016626,52.66516754934095,0.3108426407379425,216337.92869956803,Lugnvik KVV
247970.27514995082,134.27053912260197,52.17178299036777,0.351059666019061,241623.70554541313,Lugnvik KVV
247202.22039584283,116.78943380031664,40.988934760287464,0.26632791320576393,182737.649606742,Lugnvik KVV
253084.1942276847,173.4725491403599,62.38190700830486,0.2618634307836066,183949.60422604776,Lugnvik KVV
256997.2346379682,157.32333890948465,57.01064011014339,0.24878088167874143,177461.61682514605,Lugnvik KVV
249193.87845603292,233.80562611580285,86.08793025476452,0.3004407612854382,207804.62271067867,Lugnvik KVV
251533.26037018292,166.42840916194578,62.6884173754898,0.3051193756278932,213021.86779755872,Lugnvik KVV
255377.19946097888,184.2262742158128,64.43225689298995,0.22197360034139316,157341.18888518002,Lugnvik KVV
174368.49664379857,180.4767050497194,66.32205128364542,0.2759573268277588,145175.36048096017,Lugnvik KVV
175721.8132690839,139.7498552393521,48.62744764096044,0.2184944882773973,115837.48575567512,Lugnvik KVV
171944.9283273093,153.9419619482237,56.181155673693674,0.28211506595623465,146351.98278491752,Lugnvik KVV
170041.88003719572,151.71643990599543,56.17222570163811,0.3117318232141404,159926.33995513644,Lugnvik KVV
169515.19806178135,132.07425706785222,44.769911182122634,0.23502249945240214,120199.05205351005,Lugnvik KVV
173548.67299377124,197.10857593112567,68.4831933212883,0.2294853825729036,120159.82454978372,Lugnvik KVV
176231.9814976787,171.83325408396973,60.064756757843305,0.21706843834670966,115415.56095317725,Lugnvik KVV
170880.9475684154,257.8327031257695,91.79910471036887,0.27376584128278586,141141.86862593648,Lugnvik KVV
172485.14346877692,174.75383983918024,63.28477433612391,0.27583255679564084,143542.3922783195,Lugnvik KVV
175121.0667839894,208.51519993659602,70.38478105062411,0.1933762050782142,102170.2339577044,Lugnvik KVV
