City;Plant Name;Fuel (W=waste, B=biomass);Heat output (MWheat);Electric output (MWe);Existing FGC heat output (MWheat);Year of commissioning;Live steam temperature (degC);Live steam pressure (bar)
Soderhamn;Granskars KVV;B;21,5;8,5;7;2007;510;60
Sodertalje;Igelsta KVV;B;155;85;60;2009;540;90
Tidaholm;Eldaren;B;8;2,2;;2008;400;40
Tranas;Sodra Vakten 1 ;B;10;1,8;2;2002;345;15
Tranas;Sodra Vakten 2 ;B;18;7;6;2014;450;70
Trollhattan;Lextorp KVV;B;13;3,6;4;2006;485;51
Uddevalla;Lillesjoverket;W;28;10;7;2009;400;40
Uppsala;Uppsala Block 5 ;W;50;10,2;11;2010;212;14
Umea;Dava 1 ;W;40;15;14;2000;400;40
Umea;Dava 2 ;B;75;30;27;2010;543;143
Vimmerby;Tallholmen;B;15;7,5;5;2015;450;70
Varnamo;Varnamo KVV;B;13,4;4;4;2014;485;51
Vasteras;Vasteras Block 5 ;B;110;60;43;1973;540;120
Vasteras;Vasteras Block 6 ;W;110;48,5;30;2014;470;75
Vasteras;Vasteras Block 7 ;B;100;50;33;2020;520;91
Vastervik;Stegeholmsverket;W;15;5;4;2013;410;40
Vaxjo;Sandviksverket 2 ;B;65;39;25;1996;540;142
Vaxjo;Sandviksverket 3 ;B;65;39;23;2015;540;140
alvsbyn;alvsbyns KVV;B;10;3;3;2007;450;60
orebro;abyverket P4 ;B;46;24;16;2012;540;140
orebro;SAKAB Kumla ;W;35;6,1;9;2003;350;16
ornskoldsvik;Horneborgsverket;B;80;40;27;2007;540;139
ostersund;Lugnvik KVV;B;80;45;28;2012;545;145
